name,country_mb
Julianne Hough,United States of America
James Otto,United States of America
Death Cab for Cutie,United States of America
Ferras,United States of America
Finger Eleven,Canada
Cherish,United States of America
Jewel,United States of America
Lil Mama,United States of America
Augustana,United States of America
G-Unit,United States of America
Young Buck,United States of America
Ashlee Simpson,United States of America
J. Holiday,United States of America
Mario,United States of America
Radiohead,United Kingdom
Dwele,United States of America
R.E.M.,United States of America
Chuck Wicks,United States of America
Paula Abdul,United States of America
Wyclef Jean,United States of America
Niia,United States of America
Tay Dizm,United States of America
Dolla,United States of America
DJ Felli Fel,United States of America
Diddy,United Kingdom
Santana,United States of America
Chad Kroeger,Canada
D.O.E.,United States of America
Lenny Kravitz,United States of America
Amina,Tunisia
The Cure,United Kingdom
DragonForce,United Kingdom
Good Charlotte,United States of America
Kate Voegele,United States of America
Cassidy,United States of America
Michael Cera,Canada
Ellen Page,Canada
I-15,United States of America
Céline Dion,Canada
Feist,Canada
Landon Pigg,United States of America
Jason Michael Carroll,United States of America
Juanes,Colombia
Three Days Grace,Canada
Gorilla Zoe,United States of America
Wisin & Yandel,United States of America
CSS,Brazil
Spice Girls,United Kingdom
My Chemical Romance,United States of America
Serj Tankian,United States of America
Aly & AJ,United States of America
Elephant Man,Jamaica
OutKast,United States of America
Shop Boyz,United States of America
Choppa Dunks,United States of America
Fantasia,United States of America
Vanessa Hudgens,United States of America
Tracy Lawrence,United States of America
Brad Arnold,United States of America
The White Stripes,United States of America
Huey,United States of America
Hinder,United States of America
Crime Mob,United States of America
The Smashing Pumpkins,United States of America
Ozzy Osbourne,United States of America
Boosie Badazz,United States of America
The Red Jumpsuit Apparatus,United States of America
Chamillionaire,United States of America
Josh Groban,United States of America
Paul Wall,United States of America
Joe,United States of America
Rich Boy,United States of America
Blue October,United Kingdom
Björk,Iceland
Modest Mouse,United States of America
Joss Stone,United Kingdom
Regina Spektor,United States of America
The Fratellis,United Kingdom
Nine Inch Nails,United States of America
Dixie Chicks,United States of America
KT Tunstall,United Kingdom
Corinne Bailey Rae,United Kingdom
Corbin Bleu,United States of America
Trent Tomlinson,United States of America
Stone Sour,United States of America
The Messenger Birds,United States of America
Petey Pablo,United States of America
Incubus,United States of America
JoJo,United States of America
OK Go,United States of America
AFI,United States of America
Danity Kane,United States of America
Chingy,United States of America
Toni Halliday,United Kingdom
Jibbs,United States of America
RBD,Mexico
Lionel Richie,United States of America
Chris Cornell,United States of America
Shareefa,United States of America
Junior Reid,Jamaica
44,United States of America
Alejandro Sanz,Spain
Toby Love,United States of America
Tyrese,United States of America
Kandi Girl,United States of America
E-40,United States of America
Marco Marinangeli,Italy
Steve Holy,United States of America
Cassie,United States of America
Tenacious D,United States of America
Fort Minor,United States of America
Young Dro,United States of America
Nick Lachey,United States of America
The Wreckers,United States of America
The Raconteurs,United States of America
Cham,Jamaica
Paulina Rubio,Mexico
Kelis,United States of America
Too $hort,United States of America
Krayzie Bone,United States of America
Daniel Powter,Canada
Buckcherry,United States of America
Jessica Simpson,United States of America
Paris Hilton,United States of America
Keane,United Kingdom
The Meters,United States of America
Scar,Malta
Sleepy Brown,United States of America
Maná,Mexico
Jonah Matranga,United States of America
Holly Brook,United States of America
Anna Nalick,United States of America
Taking Back Sunday,United States of America
Baby Bash,United States of America
Taylor Hicks,United States of America
Phil Vassar,United States of America
Korn,United States of America
Lustra,United States of America
Shawnna,United States of America
Angels & Airwaves,United States of America
Jennifer Nettles,United States of America
Bubba Sparxxx,United States of America
Ying Yang Twins,United States of America
Mr. Collipark,United States of America
Kenny Rogers,United States of America
Teddy Geiger,United States of America
Ice Cube,United States of America
India.Arie,United States of America
Ali & Gipp,United States of America
Nate Dogg,United States of America
J-Kwon,United States of America
Matisyahu,United States of America
Sting,United Kingdom
Yeah Yeah Yeahs,United States of America
Dolly Parton,United States of America
Lil Rob,United States of America
D4L,United States of America
Avery Storm,United States of America
The Notorious B.I.G.,United States of America
Jagged Edge,United States of America
Da Brat,United States of America
HIM,Finland
Relient K,United States of America
Willie Nelson,United States of America
MJG,United States of America
8Ball,United States of America
P.O.D.,United States of America
Lindsay Lohan,United States of America
INXS,Australia
Aventura,United States of America
Michelle Branch,United States of America
Lonestar,United States of America
Neal McCoy,United States of America
Mobb Deep,United States of America
Audioslave,United States of America
Depeche Mode,United Kingdom
Charlie Wilson,United States of America
Franz Ferdinand,United Kingdom
Gretchen Wilson,United States of America
The Strokes,United States of America
Damian Marley,Jamaica
Trisha Yearwood,United States of America
Tony Yayo,United States of America
Big Pokey,United States of America
Crazy Frog,Germany
Howie Day,United States of America
Bobby Pinson,United States of America
Trick Daddy,United States of America
Big Boi,United States of America
Brooke Valentine,United States of America
112,United States of America
Olivia,United States of America
The Bravery,United States of America
King Jacob,United States of America
Jo Dee Messina,United States of America
Eve,United States of America
Trillville,United States of America
Fatman Scoop,United States of America
Jet,Australia
Slim Thug,United States of America
Caesars,Sweden
Blaine Larsen,United States of America
Jesse McCartney,United States of America
Lil Jon & The East Side Boyz,United States of America
Lee Ann Womack,United States of America
Queens of the Stone Age,United States of America
Billy Dean,United States of America
Stevie Wonder,United States of America
Garbage,United States of America
Darryl Worley,United States of America
Simple Plan,Canada
Reba McEntire,United States of America
Ja Rule,United States of America
The Postal Service,United States of America
Rupee,Barbados
Switchfoot,United States of America
Velvet Revolver,United States of America
Chevelle,United States of America
Anthony Hamilton,United States of America
Big Mato,United States of America
Nina Sky,United States of America
N.O.R.E.,United States of America
Terror Squad,United States of America
Amy Lee,United States of America
Gerald Levert,United States of America
Teena Marie,United States of America
Xzibit,United States of America
Mase,United States of America
Olu Dara,United States of America
Hoobastank,United States of America
Duran Duran,United Kingdom
Beenie Man,Jamaica
